c4c3                                     Diagonal Opening 
c4e3f5b4f3f4e2e6g5f6d6c6                 No-cat (continuation) 
c4e3f5e6d3                               Italian 
c4e3f5e6f4                               Cat 
c4e3f5e6f4c5d6c6f7f3                     Sakaguchi 
c4e3f5e6f4c5d6c6f7g5g6                   Berner
c4e3f6b4                                 Ganglion 
c4e3f6b4c3c5c6e6                         Holty / Yamada
c4e3f6e6f5                               Tiger 
c4e3f6e6f5c5c3                           Stephenson 
c4e3f6e6f5c5c3b4                         No-Kung 
c4e3f6e6f5c5c3b4d6c6b5a6b6c7             No-Kung (continuation) 
c4e3f6e6f5c5c3c6                         COMP'OTH 
c4e3f6e6f5c5c3g5                         Kung 
c4e3f6e6f5c5d3                           Leader's Tiger 
c4e3f6e6f5c5d6                           Brightwell 
c4e3f6e6f5c5f4g5g4f3c6d3d6               Ishii
c4e3f6e6f5c5f4g5g4f3c6d3d6b3c3b4e2b6     Mainline Tiger 
c4e3f6e6f5c5f4g6f7                       Rose-BILL 
c4e3f6e6f5c5f4g6f7d3                     Tamenori
c4e3f6e6f5g6                             Aubrey / Tanaka

